start,end,error_code
00:16:52,00:22:27,8
00:18:44,00:23:25,8
00:20:08,00:25:25,8
00:30:26,00:35:27,8
00:00:06,00:01:20,4
00:00:06,00:02:59,4
00:00:06,00:04:22,4
00:00:06,00:05:54,4
00:01:35,00:07:29,4
00:03:00,00:08:54,4
00:06:00,00:11:59,4
00:16:30,00:22:28,4
00:18:01,00:23:53,4
00:19:43,00:25:26,4
00:21:05,00:26:55,4
00:22:38,00:28:27,4
00:30:01,00:35:58,4
00:33:20,00:38:58,4
00:34:38,00:40:20,4
00:40:31,00:46:22,4
00:42:06,00:47:55,4
00:43:38,00:49:25,4
00:45:00,00:50:55,4
00:51:00,00:56:59,4
00:52:30,00:58:23,4
00:54:00,00:59:54,4
00:55:32,00:59:54,4
00:57:01,00:59:54,4
00:58:35,00:59:54,4
00:34:00,00:38:42,11
00:38:42,00:42:55,11
00:42:36,00:47:35,11
00:00:07,00:01:01,-7
00:00:07,00:02:53,-7
00:00:07,00:04:29,-7
00:07:35,00:12:54,-7
00:12:33,00:16:16,-7
00:12:33,00:17:43,-7
00:15:00,00:20:32,-7
00:37:32,00:43:22,-7
00:39:09,00:44:05,-7
00:40:49,00:46:19,-7
00:00:55,00:04:04,-10
00:00:55,00:04:04,-10
00:31:07,00:34:41,-10
00:43:35,00:47:39,-10
00:43:35,00:47:39,-10
00:00:01,00:01:24,2
00:00:01,00:02:58,2
00:00:01,00:04:21,2
00:00:01,00:05:58,2
00:16:36,00:22:28,2
00:18:00,00:23:59,2
00:19:35,00:25:29,2
00:21:00,00:26:59,2
00:36:00,00:41:58,2
00:39:01,00:44:59,2
00:54:02,00:59:40,5
00:55:37,00:59:40,5
00:57:16,00:59:40,5
00:58:39,00:59:40,5
00:33:37,00:37:23,10
00:33:37,00:38:33,10
00:34:38,00:38:33,10
00:48:10,00:53:15,-6
00:06:06,00:09:49,9
00:16:36,00:22:26,9
00:45:12,00:49:33,12
00:01:18,00:05:16,-9
00:05:16,00:09:56,-9
00:32:30,00:35:54,-9
00:32:30,00:37:21,-9
00:33:29,00:38:09,-9
00:00:50,00:01:26,6
00:01:42,00:03:01,-8
00:01:42,00:05:19,-8
00:01:42,00:07:06,-8
00:04:41,00:10:11,6
00:07:06,00:11:32,-8
00:33:08,00:37:15,-8
00:33:08,00:37:15,-8
00:35:51,00:39:06,-8
00:36:09,00:41:40,-8
00:39:06,00:43:00,-8
00:39:06,00:44:21,-8
00:41:40,00:45:58,-8
00:00:00,00:01:27,3
00:00:00,00:02:57,3
00:00:00,00:04:29,3
00:00:00,00:05:59,3
00:01:30,00:07:24,3
00:03:00,00:08:58,3
00:04:31,00:10:28,3
00:06:03,00:11:59,3
00:07:31,00:13:29,3
00:09:00,00:14:58,3
00:09:15,00:14:43,7
00:10:30,00:16:28,3
00:11:06,00:16:07,7
00:12:00,00:17:59,3
00:13:33,00:19:29,3
00:15:05,00:20:59,3
00:16:30,00:22:29,3
00:18:00,00:23:59,3
00:19:34,00:25:29,3
00:21:02,00:26:59,3
00:22:33,00:28:24,3
00:24:00,00:29:58,3
00:25:30,00:31:29,3
00:27:01,00:32:59,3
00:28:31,00:34:28,3
00:30:00,00:35:58,3
00:31:32,00:37:29,3
00:33:00,00:38:57,3
00:34:30,00:40:26,3
00:36:03,00:41:57,3
00:37:32,00:43:28,3
00:38:11,00:43:27,7
00:41:40,00:43:30,7
00:39:06,00:44:59,3
00:40:31,00:46:29,3
00:42:00,00:47:58,3
00:43:31,00:49:29,3
00:45:02,00:50:58,3
00:46:30,00:52:28,3
00:48:00,00:53:59,3
00:49:30,00:55:29,3
00:51:06,00:56:57,3
00:52:34,00:58:29,3
00:54:01,00:59:59,3
00:55:30,00:59:59,3
00:57:00,00:59:59,3
00:58:30,00:59:59,3
